,경도,위도
0,127.06092353462033,37.43813519465003
1,127.18426890966239,37.687783388005485
2,127.1109433760605,37.57112975242217
3,126.93345933197094,37.580849747944605
4,126.94567940158096,37.688059632127235
5,126.94567940158096,37.688059632127235
6,126.80523277541043,37.5749188960107
7,127.10038879661029,37.568907721109724
8,127.10038879661029,37.568907721109724
9,127.1053882507391,37.578351104645094
10,126.94234626834745,37.69833619887399
11,127.18426890966239,37.687783388005485
12,127.1109433760605,37.57112975242217
13,126.93345933197094,37.580849747944605
14,126.7666563892789,37.45534833392152
15,126.76701527804825,37.420087501194615
16,126.76701527804825,37.420087501194615
17,126.91754472216232,37.422116945309476
18,126.92088055517168,37.433391945206345
19,126.93056111111694,37.44091416769116
20,126.93387777742774,37.42829500112574
21,127.06916666720487,37.422222222828914
22,127.05990847154791,37.43392544193088
23,127.05813611157329,37.435588889695524
24,127.05813611154754,37.43573055641587
25,127.1844861107005,37.447144444921975
26,127.05813611154754,37.43573055641587
27,127.1844861107005,37.447144444921975
28,126.78388899976605,37.684444000909814
29,126.82250000036028,37.6931390007066
30,126.82250000036028,37.6931390007066
31,126.82250000036028,37.6931390007066
32,126.88780599988908,37.57130600071565
33,126.94091700014245,37.66697200127649
34,126.94377800007692,37.5731670008513
35,126.94500000032747,37.576861000904785
36,126.94500000032747,37.576861000904785
37,127.08932399951927,37.43022800092407
38,126.79013890002696,37.689250001214994
39,127.12886110043237,37.706861110642016
40,127.08866109980487,37.68225833105425
41,126.77083330011634,37.650555561354665
42,126.86666669976782,37.66250000072133
43,126.91916669972852,37.68777778111
44,126.79088890019125,37.69125000074206
45,126.79172220026511,37.6876666709627
46,126.78988889952035,37.688638890971305
47,126.79177779991866,37.68772222060634
48,127.10263889975941,37.70119444127007
49,127.06299999944873,37.69983333121638
50,127.12761109974647,37.70602778080345
51,127.13624999999298,37.70566667093988
52,127.0368,37.6844
53,127.0368,37.6844
54,127.0247,37.6842
55,127.0231,37.6853
56,127.0236,37.6862
57,127.0231,37.6853
58,127.0236,37.6862
59,127.0231,37.6853
60,127.0247,37.6842
61,127.0368,37.6844
62,127.0231,37.6853
63,127.0236,37.6862
64,127.0247,37.6842
65,127.0236,37.6862
66,127.0053,37.62
67,126.988,37.6914
68,126.9456,37.6519
69,126.988,37.6914
70,127.0053,37.62
71,127.0053,37.62
72,127.0053,37.62
73,126.988,37.6914
74,127.0053,37.62
75,126.9456,37.6519
76,126.9456,37.6519
77,127.0053,37.62
78,127.0053,37.62
79,126.9456,37.6519
80,126.9456,37.6519
81,127.0053,37.62
82,126.9938,37.6144
83,126.9938,37.6144
84,126.9456,37.6519
85,127.0053,37.62
86,127.0053,37.62
